train_loss,test_loss,jaccard
4.1423601531659875,2.886527164695189,0.10137348
2.2754730593660906,1.2873326317756038,0.5321818
1.124258521007712,0.8692677448090819,0.6769999
0.7958145178560474,0.7427809225632153,0.41840634
0.6199396680095554,0.7453048551819988,0.5845214
0.5378255222954503,0.6589111847182115,0.69772255
0.5618088259419433,0.6252850255708104,0.63403565
0.46681134260796103,0.799447058274369,0.34102973
0.47207746126404476,0.551344030808747,0.44025764
0.42626440100867424,0.6871816076056654,0.75619596
